student_id,student_name,student_sex,student_dob,Course_Title,course_id,billing_amount,admission_type,date_of_enrollment,test_results
48,John Griffin,Female,1989-08-16,"Teaching with Art: Using Inquiry, Activities, and Themes Specialization",48,22519.3361781246,financial_aid,2021-08-15,Ongoing
49,Justin Kaufman,Female,1959-02-05,Greek and Roman Mythology,49,1996.31072128105,financial_aid,2023-03-03,Ongoing
50,Dylan Mcknight,Male,1954-01-27,Write A Feature Length Screenplay For Film Or Television,50,5470.20968689125,financial_aid,2021-08-07,Ongoing
51,Olivia Ayala,Male,1958-11-25,Creative Writing: The Craft of Plot,51,16036.1099900234,financial_aid,2019-06-06,Placed
52,Frank Mccormick,Male,1958-01-27,Making Architecture,52,10803.7303436596,financial_aid,2019-10-13,Ongoing
53,Rachael Davidson,Female,1953-02-02,Graphic Design Elements for Non-Designers Specialization,53,9881.80796311707,financial_aid,2021-10-05,Unplaced
54,Lori Owens,Male,1958-01-07,Write Your First Novel,54,38872.6452227238,regular,2022-10-20,Unplaced
55,Frank Reid,Female,1960-02-29,Introduction to Typography,55,7264.67096818433,financial_aid,2023-03-30,Ongoing
56,Cynthia Stanton,Male,1995-06-06,How to Play Guitar Specialization,56,34132.6230001181,financial_aid,2019-06-26,Placed
57,Nicole Williams,Male,1937-02-25,Developing Your Musicianship Specialization,57,25948.5071891841,financial_aid,2020-04-03,Placed
58,Michael Miller,Male,1994-02-19,Become a Journalist: Report the News! Specialization,58,46461.8225235619,financial_aid,2021-02-18,Unplaced
59,Kenneth Lopez,Female,2001-01-07,Modern Art & Ideas,59,10705.0983996408,financial_aid,2019-06-14,Ongoing
60,Gabrielle Russell,Male,1991-12-06,English Composition I,60,49576.8740328861,regular,2022-11-26,Unplaced
61,Mary Brown,Male,1989-11-17,"The Modern World, Part One: Global History from 1760 to 1910",61,8005.82833705634,financial_aid,2023-08-25,Ongoing
62,Evan Martinez,Female,1994-04-18,The Cycle: Management of Successful Arts and Cultural Organizations,62,41295.3997480565,financial_aid,2022-03-29,Placed
63,Amanda Stein DVM,Female,2001-05-02,Art for Games  Specialization,63,20080.2976449051,financial_aid,2021-07-04,Placed
64,Paul Graham,Female,1973-03-23,The Art of Music Production,64,1888.00211129034,financial_aid,2019-11-04,Ongoing
65,Lisa Gonzalez,Male,1976-12-24,Introduction to Game Design,65,44935.2696969847,financial_aid,2021-12-28,Unplaced
66,Angela Sanchez,Female,1963-06-03,Getting Started With Music Theory,66,10724.0332469315,financial_aid,2022-10-27,Placed
67,Kimberly Wheeler,Female,1952-07-10,Feminism and Social Justice,67,14691.2500422578,regular,2023-04-06,Ongoing
68,Francisco Ritter,Male,1969-10-24,Songwriting: Writing the Lyrics,68,4927.53464677217,regular,2022-04-26,Unplaced
69,Kenneth Smith,Male,1938-08-19,Introduction to Classical Music,69,49228.7078339915,financial_aid,2019-08-19,Ongoing
70,Christina Martinez,Female,2002-08-22,Introduction to Imagemaking,70,39154.2473317438,financial_aid,2019-09-03,Unplaced
71,Ryan Richmond,Male,1934-05-05,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,71,47508.0001791597,financial_aid,2020-01-19,Ongoing
72,Linda Wheeler,Male,1940-10-18,"Cameras, Exposure, and Photography",72,15488.3645299367,financial_aid,2020-09-29,Unplaced
73,Anna Phillips,Male,1995-07-18,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",73,2628.94781998456,financial_aid,2020-02-29,Placed
74,Juan Patel,Female,1983-04-10,Journey of the Universe: The Unfolding of Life,74,13794.7204420815,financial_aid,2021-04-29,Ongoing
75,Miguel Fields,Female,1932-10-18,The Technology of Music Production,75,26987.1213707102,regular,2021-09-21,Placed
76,Tyler Rosario,Female,1961-11-27,Curanderismo: Traditional Healing Using Plants,76,9991.07444554125,financial_aid,2021-02-07,Placed
77,Lisa Johnson,Male,1959-08-02,"The Modern World, Part Two: Global History since 1910",77,18904.7381995683,financial_aid,2023-10-28,Ongoing
78,David Sanchez,Male,1966-09-26,Love as a Force for Social Justice,78,44423.09553583,regular,2020-08-08,Placed
79,Teresa Marks,Female,1985-05-19,Sharpened Visions: A Poetry Workshop,79,48195.5128135038,regular,2020-03-30,Unplaced
80,Jonathan Fernandez,Female,1951-11-16,UX Design Fundamentals,80,22749.2841387654,regular,2023-07-09,Ongoing
81,Douglas Crawford,Male,1956-07-15,Egiptología (Egyptology),81,21965.0796562786,financial_aid,2021-06-13,Unplaced
82,Anthony Fisher,Female,1965-07-26,Ideas from the History of Graphic Design,82,8311.39738922229,financial_aid,2022-11-23,Unplaced
83,Kimberly Vargas,Female,1948-10-26,Introduction to Ancient Egypt and Its Civilization,83,43547.7722222669,financial_aid,2020-12-31,Unplaced
84,Travis Walker,Female,1945-07-16,The Language of Design: Form and Meaning,84,24509.0418140103,financial_aid,2020-02-20,Ongoing
85,Amanda Ortiz,Male,1930-06-11,Piano Techniques for Modern Music,85,36026.5382906993,financial_aid,2019-06-14,Ongoing
86,Keith Johns,Female,1941-10-07,Ecologie Politique: défi de la durabilité pour les démocraties,86,1997.33276127047,financial_aid,2020-12-30,Placed
87,Jesse Williams,Male,2002-09-17,Historia del Arte: Del Arte Prehistórico al Renacimiento,87,6575.13946790015,financial_aid,2020-03-28,Unplaced
88,Michael Ford,Female,1932-09-22,Russian History: from Lenin to Putin,88,37421.296659936,financial_aid,2020-05-07,Unplaced
89,Jessica Ford,Female,1961-07-31,Music Business Foundations,89,4679.11903867721,regular,2022-04-24,Placed
90,Thomas Washington,Female,1950-11-21,"El águila, el nopal y ¿la serpiente?",90,22787.2792441943,financial_aid,2021-07-30,Unplaced
91,Ariel Davis,Female,2000-10-11,Roman Architecture,91,33925.0201432914,regular,2023-08-12,Placed
92,Joyce Vaughn,Male,1932-10-13,"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",92,42685.1900035435,financial_aid,2021-07-07,Unplaced
93,Jermaine Thomas,Female,1996-05-27,Seeing Through Photographs,93,9029.12629061931,financial_aid,2020-08-24,Placed
94,Jason Horn,Female,1992-06-27,Curanderismo: Traditional Healing of the Body,94,6777.22931379999,financial_aid,2019-07-27,Ongoing
95,Samuel Welch,Male,1996-06-19,American History Through Baseball Specialization,95,18232.7682106744,financial_aid,2021-10-05,Unplaced
96,Steven Boyer,Male,1993-08-25,Introduction to Ableton Live,96,28792.6319746318,financial_aid,2023-08-19,Ongoing
97,Gabrielle Francis,Male,1996-07-13,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,97,22081.2782605973,financial_aid,2021-01-15,Unplaced
98,Christian Guerrero,Male,1953-05-09,Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),98,26440.3967256839,regular,2023-08-16,Unplaced
99,Christopher Juarez,Male,1977-04-06,Story and Narrative Development for Video Games,99,46144.9397184071,financial_aid,2019-10-22,Placed
100,Paul Greer,Male,1955-05-18,Think Again I: How to Understand Arguments,100,5319.54276277632,regular,2018-12-28,Unplaced
101,Brian Robinson,Female,1988-03-28,"Philosophy, Science and Religion: Philosophy and Religion",101,44047.1442418842,regular,2019-01-12,Placed
102,Scott Adams,Male,1963-05-13,Recovering the Humankind's Past and Saving the Universal Heritage,102,17592.8732482946,regular,2022-06-04,Placed
103,Amber Solomon,Male,1988-02-29,Violences et religions,103,47452.4418761654,financial_aid,2019-06-30,Unplaced
104,Jacob Howell,Female,1947-05-03,Getting Started with Essay Writing,104,34056.9298698699,financial_aid,2020-12-12,Placed
105,Monica Stevens,Female,1953-06-20,Discover Acting,105,17241.1163626356,financial_aid,2019-10-21,Unplaced
106,Kurt Sloan,Female,1998-08-20,Chinese Culture and Contemporary China ,106,18898.603555374,regular,2021-02-10,Ongoing
107,Allison White,Female,1949-09-26,Copyright for Multimedia,107,35869.4064120324,regular,2020-08-15,Placed
108,Ronald Rollins,Female,1944-06-12,"Philosophy, Science and Religion: Science and Philosophy",108,23559.5961438409,financial_aid,2022-03-17,Ongoing
109,Albert Dunn,Male,1980-07-03,Music and Social Action,109,23777.7955246519,regular,2021-10-23,Unplaced
110,Anthony Armstrong,Female,1975-01-13,Indigenous Religions & Ecology,110,16931.6360084348,financial_aid,2021-09-22,Placed
111,William Jacobson,Female,1974-05-26,Introduction to Religions & Ecology,111,13073.2880225641,financial_aid,2021-03-28,Placed
112,Jennifer Reeves,Male,1951-12-03,Old Norse Mythology in the Sources,112,5092.74967506549,financial_aid,2018-11-18,Ongoing
113,Tammy Thompson,Male,1937-01-12,Brand New Brand,113,22577.6026077501,regular,2020-02-26,Unplaced
114,Susan Mills,Male,1989-10-25,Tecnología musical con software libre Specialization,114,11057.9756414062,financial_aid,2020-12-10,Unplaced
115,Kelly Manning,Female,1935-07-21,Web Design: Wireframes to Prototypes,115,1923.90679418255,regular,2022-10-15,Unplaced
116,Joseph Barrera,Female,1937-05-19,Guitar for Beginners,116,33776.799588304,financial_aid,2023-07-03,Ongoing
117,Jason Hunter,Male,2001-05-19,Creative Writing: The Craft of Character,117,38450.6274628731,financial_aid,2023-04-23,Placed
118,Martha Franklin,Male,1972-03-23,Scandinavian Film and Television,118,48379.0625590423,financial_aid,2020-10-05,Ongoing
119,Alyssa Osborne,Male,1944-05-25,"The Bible's Prehistory, Purpose, and Political Future",119,40340.5304226113,financial_aid,2021-09-12,Ongoing
120,Carlos Young,Male,1990-03-29,"Philosophy, Science and Religion: Religion and Science",120,18161.7519776521,financial_aid,2022-10-31,Ongoing
121,Jesse Sanders,Female,1948-06-11,Science & Religion 101,121,23517.4618518621,financial_aid,2020-12-28,Placed
122,Mrs. Brittany Fields,Female,1931-01-27,"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques",122,24116.5997256067,financial_aid,2019-08-25,Ongoing
123,Melanie Clark,Male,1968-04-17,Libertarian Free Will Specialization,123,8895.13728782172,regular,2020-02-16,Unplaced
124,Kevin Andrews,Female,1964-09-05,"AI, Empathy & Ethics",124,48995.0488387717,financial_aid,2022-06-14,Ongoing
125,Caitlin Sanders,Male,1946-02-18,What Is Contemporary Art?,125,17835.9505418436,financial_aid,2021-08-16,Placed
126,Sabrina Patterson,Female,1939-10-02,Emotions: a Philosophical Introduction,126,36379.9471474343,financial_aid,2023-03-02,Unplaced
127,Destiny Parks,Female,1946-12-07,"Applied Public History: Places, People, Stories",127,23684.9155470987,financial_aid,2021-01-22,Unplaced
128,Antonio Miller,Female,1983-05-06,Wonders of Ancient Egypt,128,20312.7698214444,regular,2023-05-25,Ongoing
129,Matthew Oliver,Male,1992-01-18,Music for Wellness,129,47999.8061266732,regular,2020-11-11,Placed
130,Joshua Benjamin,Male,1952-12-23,Roman Art and Archaeology,130,41814.4244682316,financial_aid,2019-12-05,Ongoing
131,Albert Carter,Female,1965-10-11,Developing Your Musicianship,131,25436.9947196716,financial_aid,2021-05-31,Ongoing
132,James Pittman,Male,1971-10-18,"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",132,40484.2571227197,regular,2023-05-19,Placed
133,Danielle Rice,Male,1983-05-11,Producción musical con software libre Specialization,133,22139.9719970182,regular,2020-03-08,Placed
134,John Edwards,Female,1994-08-12,Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,134,39666.2405505719,regular,2019-06-21,Ongoing
135,Lori Sanders,Male,1936-09-20,Teaching the Violin and Viola: Creating a Healthy Foundation,135,26051.4144579749,financial_aid,2022-03-27,Ongoing
136,Rebecca Mcdonald,Male,1962-05-30,"The American South: Its Stories, Music, and Art",136,19279.2602148196,financial_aid,2019-09-13,Unplaced
137,James Marsh,Female,1968-06-09,The Ancient Greeks,137,32007.3528587733,regular,2022-03-23,Ongoing
138,Patrick Bates,Male,1999-06-28,VR and 360 Video Production,138,36823.9282599924,regular,2020-06-19,Placed
139,Sheila Castro,Female,1982-05-03,Web Design: Strategy and Information Architecture,139,36946.0002673299,financial_aid,2021-07-09,Placed
140,Tim Mercer,Female,1960-01-09,Historia del Arte: Del Barroco al Arte Posmoderno,140,3345.70348880834,regular,2020-01-14,Ongoing
141,Andrea Williams,Male,1997-03-08,Introduction to Korean Philosophy and Culture,141,21591.8361676925,regular,2022-11-01,Unplaced
142,Zachary Wood,Male,1956-09-23,Principles of Photo Composition and Digital Image Post-Production,142,13080.6653248566,regular,2021-08-24,Unplaced
143,Meghan Burns,Female,1943-11-05,Fundamentals of Rehearsing Music Ensembles,143,31008.4793081242,financial_aid,2023-04-28,Unplaced
144,Mark Grant,Male,1970-12-05,Character Design for Video Games,144,31546.520202372,financial_aid,2021-11-14,Unplaced
145,Kelly Walker,Female,1952-03-16,Camera Control,145,9824.26504628461,financial_aid,2020-07-16,Unplaced
146,Kelly Miller,Male,1967-09-17, Storytelling in Branding and Content Marketing ,146,44419.9854240888,regular,2022-04-28,Placed
147,Tina Vargas,Female,1985-05-16,Ancient Philosophy: Aristotle and His Successors,147,13759.8438124075,financial_aid,2023-08-03,Ongoing
148,Christopher Gilbert,Male,1977-09-03,Richard Schechner's Introduction to Performance Studies ,148,22862.2085047568,financial_aid,2022-04-30,Placed
149,Randall Meyer,Female,1995-01-29,ART of the MOOC: Public Art and Pedagogy,149,40372.116740459,financial_aid,2020-10-20,Placed
150,Russell Holden,Female,1931-05-18,Pensamiento científico,150,37867.0193320539,financial_aid,2020-08-07,Placed
151,Sara Bates,Male,1948-12-02,Magic in the Middle Ages,151,42968.2726984912,financial_aid,2022-12-01,Placed
152,Jeff Cooper MD,Female,1964-09-24,Humanidades digitales,152,23907.3353151703,regular,2019-03-04,Ongoing
153,Anne Smith,Male,1999-09-02,Ancient Philosophy: Plato & His Predecessors,153,15299.2348350512,financial_aid,2019-11-27,Unplaced
154,Ernest Peters,Female,1993-11-08,Behavior Architecture - Understanding Human Behavior ,154,17415.9757671067,financial_aid,2020-05-31,Placed
155,Tammy Savage,Female,1987-02-23,The Art of Vocal Production,155,10042.0612189234,financial_aid,2023-02-04,Placed
156,Deborah Butler,Female,1930-07-26,Understanding the Music Business: What is Music Worth?,156,49219.2095430744,regular,2020-07-29,Ongoing
157,Amy Jensen,Female,1988-11-30,Reimagining Blackness and Architecture,157,6171.45706771202,financial_aid,2023-04-18,Unplaced
158,Zachary Martinez,Male,1991-03-23,In Search for the Origins of Korean Philosophy,158,31644.8009978908,financial_aid,2020-08-20,Placed
159,Eric Wilson,Female,1995-12-31,Age of Jefferson,159,44535.2530361956,financial_aid,2023-07-09,Placed
160,Matthew Pratt,Female,1994-02-13,Christianity & Ecology,160,10591.2696440308,financial_aid,2023-08-19,Ongoing
161,Andrew Alvarez,Female,1978-12-03,Reasoning Across the Disciplines,161,43535.6090444583,financial_aid,2021-05-09,Placed
162,Jocelyn Simmons,Female,1996-05-16,L’Egitto prima e dopo i faraoni. Dalla nascita dello Stato (3000 a.C. ca.) alle prime comunità cristiane (IV secolo d.C.),162,41058.2338737846,financial_aid,2019-04-21,Unplaced
163,Andre Perez MD,Male,1973-08-17,How to Make a Comic Book (Project-Centered Course),163,7154.95669985751,financial_aid,2021-06-23,Ongoing
164,Michael White,Male,1977-03-22,Memoir and Personal Essay: Managing Your Relationship with the Reader,164,46131.070315784,financial_aid,2022-04-30,Placed
165,Emily Perez,Female,1982-07-01,Songwriting: Writing the Music,165,16487.6767856523,regular,2021-04-01,Unplaced
166,David Casey,Male,1995-02-21,FL Studio Basics,166,31583.5527912602,financial_aid,2023-04-27,Unplaced
167,Joseph Bailey,Male,1953-12-21,Creative Writing: The Craft of Style,167,29289.6526009692,regular,2021-08-20,Unplaced
168,Raymond Cain,Female,1988-11-12,Creative Writing: The Craft of Setting and Description,168,27022.8269268943,financial_aid,2019-12-04,Placed
169,Victoria Dunn,Female,1963-11-27,Pro Tools Basics,169,13962.4277750975,financial_aid,2020-08-20,Ongoing
170,Paula Knight,Female,1991-05-04,"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP",170,18991.0732225217,financial_aid,2021-12-16,Placed
171,Jennifer Trevino,Male,1979-09-02,Building Your Career in Music: Developing A Brand and Funding Your Music,171,8851.60873117087,regular,2019-06-25,Ongoing
172,Mrs. Deborah Rose,Female,1970-07-30,Основы графического дизайна,172,31670.2632757603,financial_aid,2020-04-02,Ongoing
173,Ryan Cross,Male,1950-09-27,Grundlagen des Grafikdesigns,173,25129.1759518903,financial_aid,2020-03-17,Ongoing
174,Michael Morgan,Male,1947-06-15,Art & Ideas: Teaching with Themes,174,6787.53399037155,financial_aid,2022-07-31,Ongoing
175,Christina Armstrong,Male,1993-09-23,The Cosmopolitan Medieval Arabic World,175,5974.9702052411,financial_aid,2022-04-09,Ongoing
176,Anne Bates,Male,1934-08-06,The Emergence of the Modern Middle East - Part I,176,18200.7579970607,regular,2022-03-31,Unplaced
177,Scott Nicholson,Male,1983-09-26,Approaching Music Theory: Melodic Forms and Simple Harmony,177,10753.7576153654,financial_aid,2019-11-27,Placed
178,Jeffrey Cross,Female,1987-07-21,The History of Modern Israel - Part I: From an Idea to a State,178,28004.3415366877,regular,2022-03-02,Unplaced
179,Holly Hickman,Male,1932-11-25,El Músico Moderno Specialization,179,41890.2464393735,financial_aid,2022-07-13,Ongoing
180,Jacob Rodriguez,Female,1993-02-11,東坡詞 (Ci Poetry of Su Dong Po),180,23961.0698140579,regular,2020-04-28,Ongoing
181,Jessica Joseph,Female,1974-05-08,Sustainable Development - Ideas and Imaginaries,181,42051.0940935706,financial_aid,2021-10-21,Unplaced
182,Stacy Williams,Male,1957-02-22,Paesaggi di Roma Antica. Archeologia e storia del Palatino.,182,32613.2416104635,regular,2023-04-02,Unplaced
183,Gregory Wilson,Female,1983-07-03,Littérature mondiale,183,36745.2104552984,regular,2023-05-19,Unplaced
184,Elizabeth Sullivan,Male,1991-01-20,Think Again IV: How to Avoid Fallacies,184,21341.2388427239,financial_aid,2020-02-02,Placed
185,Wendy Cantu,Female,1959-08-14,Think Again II: How to Reason Deductively,185,26060.6733686824,financial_aid,2022-02-18,Unplaced
187,Paul Wells,Male,1959-11-26,Think Again III: How to Reason Inductively,187,37318.5225308482,financial_aid,2023-03-13,Placed
188,Troy Villarreal,Female,1956-10-20,Writing a Personal Essay,188,38972.2055339184,financial_aid,2020-02-02,Placed
189,Latoya Price,Male,1974-08-30,Game Design Document: Define the Art & Concepts,189,23968.3169182501,regular,2020-04-29,Placed
190,Paul Watson,Female,1960-10-22,World Design for Video Games,190,25926.9485420706,regular,2022-02-01,Placed
191,Alejandro Ramirez DDS,Male,1937-05-17,Art & Activity: Interactive Strategies for Engaging with Art,191,13981.1126130032,regular,2023-10-08,Unplaced
192,Timothy Miranda,Male,1968-02-22,Age of Cathedrals,192,21470.4177381972,regular,2023-05-24,Ongoing
193,Brian Shea,Male,1939-12-07,Cultural Competence - Aboriginal Sydney,193,45391.2846420012,financial_aid,2018-12-23,Placed
194,Shirley Casey,Female,2001-01-07,Habilidades de pensamiento y solución de problemas,194,20926.2979794711,financial_aid,2020-03-04,Unplaced
195,Kathy Cross,Female,1974-03-28,Moneyball and Globalization,195,14029.2069505289,financial_aid,2019-08-24,Unplaced
196,Pam Cantu,Female,1957-11-08,Producción Musical y su Efecto en la Composición,196,47034.4940247675,financial_aid,2020-12-04,Placed
197,Heidi Parker,Male,1989-10-12,Representaciones culturales de las sexualidades,197,48782.8563156625,financial_aid,2019-05-18,Placed
198,Lori Anderson,Male,1979-05-31,What is news? ,198,40262.3115142339,financial_aid,2022-09-23,Ongoing
199,Colleen Swanson,Male,2001-06-22,"Plagues, Witches, and War: The Worlds of Historical Fiction",199,12540.2469913036,financial_aid,2019-09-27,Ongoing
200,Christopher Campos,Female,1958-01-04,Arranging for Songwriters,200,10914.9445877752,financial_aid,2021-01-28,Ongoing
201,Samantha Simpson,Male,1973-01-02,Inequality and Democracy,201,17902.6463938095,financial_aid,2022-12-18,Ongoing
202,Terrence Edwards,Male,1990-03-03,Graphic Elements of Design: Color Theory and Image Formats,202,15773.9011829143,financial_aid,2020-05-13,Ongoing
203,Amanda Lee,Female,1961-06-21,Introduction to Who Wrote Shakespeare,203,31155.4042712973,financial_aid,2020-11-03,Ongoing
204,Nancy Moore,Female,1995-02-05,"History of Rock, Part One",204,7140.77383277704,financial_aid,2020-03-25,Placed
205,Rachel Williams,Male,1933-07-30,Black Lives Matter,205,21901.8266441587,financial_aid,2023-05-02,Ongoing
206,Carolyn Murphy,Female,1948-07-21,Programación musical con software libre Specialization,206,36744.0378799347,financial_aid,2022-12-07,Unplaced
207,Angela Beard,Male,1990-11-30,Write Like Mozart: An Introduction to Classical Music Composition,207,8754.54888592017,financial_aid,2019-07-14,Ongoing
208,Vanessa Taylor,Male,1955-12-10,How Music Can Change Your Life,208,37006.7248294987,regular,2020-05-26,Ongoing
209,Brooke Ellison,Male,1950-08-10,How to Change the World,209,42431.3912702839,regular,2022-06-27,Placed
210,Kevin Copeland,Female,1999-03-25,South Asian Religions & Ecology,210,4825.24406593791,regular,2019-11-12,Placed
211,Timothy Lynch,Male,1990-02-14,"Coexistence in Medieval Spain: Jews, Christians, and Muslims",211,14578.9130118228,financial_aid,2020-07-10,Placed
212,Christopher Barker,Male,1945-02-21,The Music of the Beatles,212,14027.1393843659,financial_aid,2019-08-30,Unplaced
213,Stephanie Ayers,Female,1986-12-10,Intellectual Humility: Science,213,30845.7820221844,regular,2021-12-12,Ongoing
214,Amber Foley,Female,1940-04-06,The Holocaust - An Introduction (II): The Final Solution,214,14876.2154778458,financial_aid,2023-06-01,Unplaced
215,Geoffrey Robertson,Female,1967-02-01,哲学导论（中文版）,215,5727.33810303321,regular,2019-07-15,Unplaced
